DateCode,FeatureName,Energy Type,Value
2005,North Ayrshire,Coal,264.874
2005,North Ayrshire,Electricity,1559.048
2005,North Ayrshire,Gas,2898.731
2005,North Ayrshire,Manufactured Fuels,4.865
2005,North Ayrshire,Petroleum Products,912.633
2005,North Lanarkshire,Bioenergy & Wastes,111.987
2005,North Lanarkshire,Coal,5.637
2005,North Lanarkshire,Electricity,2656.4210000000003
2005,North Lanarkshire,Gas,3846.076
2005,North Lanarkshire,Manufactured Fuels,35.676
2005,North Lanarkshire,Petroleum Products,3060.125
2005,Orkney Islands,Bioenergy & Wastes,4.7700000000000005
2005,Orkney Islands,Coal,10.608
2005,Orkney Islands,Electricity,191.697
2005,Orkney Islands,Gas,0.0
2005,Orkney Islands,Manufactured Fuels,3.087
2005,Orkney Islands,Petroleum Products,383.178
2005,Perth and Kinross,Bioenergy & Wastes,19.500999999999998
2005,Perth and Kinross,Coal,16.047
2005,Perth and Kinross,Electricity,1266.472
2005,Perth and Kinross,Gas,1215.498
2005,Perth and Kinross,Manufactured Fuels,10.65
2005,Perth and Kinross,Petroleum Products,2671.386
2005,Renfrewshire,Bioenergy & Wastes,5.922
2005,Renfrewshire,Coal,1.139
2005,Renfrewshire,Electricity,1519.867
2005,Renfrewshire,Gas,2063.337
2005,Renfrewshire,Manufactured Fuels,2.168
2005,Renfrewshire,Petroleum Products,1388.8480000000002
2005,Scottish Borders,Bioenergy & Wastes,24.59
2005,Scottish Borders,Coal,42.49100000000001
2005,Scottish Borders,Electricity,966.313
2005,Scottish Borders,Gas,1013.1479999999999
2005,Scottish Borders,Manufactured Fuels,9.815000000000001
2005,Scottish Borders,Petroleum Products,1655.089
2005,Shetland Islands,Bioenergy & Wastes,5.117000000000001
2005,Shetland Islands,Coal,10.681
2005,Shetland Islands,Electricity,311.544
2005,Shetland Islands,Gas,0.0
2005,Shetland Islands,Manufactured Fuels,3.366
2005,Shetland Islands,Petroleum Products,403.2
2005,South Ayrshire,Bioenergy & Wastes,10.613000000000001
2005,South Ayrshire,Coal,38.009
2005,South Ayrshire,Electricity,911.363
2005,South Ayrshire,Gas,1380.457
2005,South Ayrshire,Manufactured Fuels,8.352
2005,South Ayrshire,Petroleum Products,1169.234
2005,South Lanarkshire,Bioenergy & Wastes,21.5
2005,South Lanarkshire,Coal,15.873000000000001
2005,South Lanarkshire,Electricity,2413.248
2005,South Lanarkshire,Gas,3233.92
2005,South Lanarkshire,Manufactured Fuels,13.414
2005,South Lanarkshire,Petroleum Products,3065.607
2005,Stirling,Bioenergy & Wastes,146.899
