DateCode,FeatureName,Energy Consuming Sector,Value
2005,Inverclyde,Domestic,812.368
2005,Inverclyde,Industrial,294.39399999999995
2005,Inverclyde,Industrial & Commercial,221.668
2005,Inverclyde,Public Sector,2.002
2005,Inverclyde,Rail,0.196
2005,Inverclyde,Road Transport,489.908
2005,Midlothian,Agriculture,22.37
2005,Midlothian,Commercial,166.447
2005,Midlothian,Domestic,807.6600000000001
2005,Midlothian,Industrial,269.55
2005,Midlothian,Industrial & Commercial,164.157
2005,Midlothian,Public Sector,3.592
2005,Midlothian,Rail,7.527
2005,Midlothian,Road Transport,528.3340000000001
2005,Moray,Agriculture,94.20700000000001
2005,Moray,Commercial,693.3760000000001
2005,Moray,Domestic,938.804
2005,Moray,Industrial,938.365
2005,Moray,Industrial & Commercial,325.675
2005,Moray,Public Sector,11.06
2005,Moray,Rail,7.485
2005,Moray,Road Transport,561.379
2005,Na h-Eileanan Siar,Agriculture,36.059
2005,Na h-Eileanan Siar,Commercial,26.916999999999998
2005,Na h-Eileanan Siar,Domestic,282.19
2005,Na h-Eileanan Siar,Industrial,101.977
2005,Na h-Eileanan Siar,Industrial & Commercial,60.174
2005,Na h-Eileanan Siar,Public Sector,11.751000000000001
2005,Na h-Eileanan Siar,Rail,0.0
2005,Na h-Eileanan Siar,Road Transport,159.837
2005,North Ayrshire,Agriculture,46.6
2005,North Ayrshire,Commercial,1190.657
2005,North Ayrshire,Domestic,1402.04
2005,North Ayrshire,Industrial,1878.154
2005,North Ayrshire,Industrial & Commercial,628.136
2005,North Ayrshire,Public Sector,4.349
2005,North Ayrshire,Rail,2.798
2005,North Ayrshire,Road Transport,644.243
2005,North Lanarkshire,Agriculture,26.784
2005,North Lanarkshire,Commercial,1072.9769999999999
2005,North Lanarkshire,Domestic,3247.562
2005,North Lanarkshire,Industrial,1809.351
2005,North Lanarkshire,Industrial & Commercial,1001.762
2005,North Lanarkshire,Public Sector,8.506
2005,North Lanarkshire,Rail,21.463
2005,North Lanarkshire,Road Transport,2527.517
2005,Orkney Islands,Agriculture,123.354
2005,Orkney Islands,Commercial,27.637
2005,Orkney Islands,Domestic,196.135
2005,Orkney Islands,Industrial,76.29
2005,Orkney Islands,Industrial & Commercial,53.591
2005,Orkney Islands,Public Sector,21.209
2005,Orkney Islands,Rail,0.0
2005,Orkney Islands,Road Transport,95.12400000000001
2005,Perth and Kinross,Agriculture,165.177
2005,Perth and Kinross,Commercial,376.968
2005,Perth and Kinross,Domestic,1533.162
2005,Perth and Kinross,Industrial,606.37
2005,Perth and Kinross,Industrial & Commercial,419.087
2005,Perth and Kinross,Public Sector,12.71
2005,Perth and Kinross,Rail,69.399
2005,Perth and Kinross,Road Transport,2016.681
2005,Renfrewshire,Agriculture,18.529
2005,Renfrewshire,Commercial,599.588
2005,Renfrewshire,Domestic,1705.389
2005,Renfrewshire,Industrial,894.653
