FeatureName,DateCode,Value,Energy Type,Energy Consuming Sector
West Dunbartonshire,2005,0.0,Coal,Rail
West Dunbartonshire,2005,192.383,Electricity,Domestic
West Dunbartonshire,2005,0.176,Coal,Public Sector
West Dunbartonshire,2005,664.98,Gas,Domestic
West Dunbartonshire,2005,250.801,Electricity,Industrial & Commercial
West Dunbartonshire,2005,1.127,Bioenergy & Wastes,Domestic
West Dunbartonshire,2005,0.182,Coal,Domestic
West Dunbartonshire,2005,0.005,Coal,Agriculture
West Dunbartonshire,2005,528.53,Petroleum Products,Road Transport
West Dunbartonshire,2006,1.268,Bioenergy & Wastes,Domestic
West Dunbartonshire,2005,1.044,Petroleum Products,Rail
West Dunbartonshire,2006,0.164,Coal,Domestic
West Dunbartonshire,2006,0.003,Coal,Agriculture
West Dunbartonshire,2005,7.846,Petroleum Products,Agriculture
West Dunbartonshire,2005,0.599,Manufactured Fuels,Domestic
West Dunbartonshire,2005,0.883,Petroleum Products,Public Sector
West Dunbartonshire,2005,9.429,Petroleum Products,Domestic
West Dunbartonshire,2007,540.071,Petroleum Products,Road Transport
West Dunbartonshire,2008,0.691,Bioenergy & Wastes,Domestic
West Dunbartonshire,2007,1.102,Petroleum Products,Rail
West Dunbartonshire,2008,0.198,Coal,Domestic
West Dunbartonshire,2008,0.003,Coal,Agriculture
West Dunbartonshire,2007,0.532,Manufactured Fuels,Domestic
West Dunbartonshire,2007,7.087,Petroleum Products,Agriculture
West Dunbartonshire,2007,638.243,Gas,Domestic
West Dunbartonshire,2007,1.241,Petroleum Products,Public Sector
West Dunbartonshire,2007,8.808,Petroleum Products,Domestic
West Dunbartonshire,2008,0.582,Manufactured Fuels,Domestic
West Dunbartonshire,2008,6.922,Petroleum Products,Agriculture
West Dunbartonshire,2008,616.878,Gas,Domestic
West Dunbartonshire,2008,1.095,Petroleum Products,Public Sector
West Dunbartonshire,2008,9.371,Petroleum Products,Domestic
West Dunbartonshire,2008,0.0,Coal,Rail
West Dunbartonshire,2008,0.158,Coal,Public Sector
West Dunbartonshire,2008,234.589,Electricity,Industrial & Commercial
West Dunbartonshire,2008,174.811,Electricity,Domestic
West Dunbartonshire,2006,0.563,Manufactured Fuels,Domestic
West Dunbartonshire,2006,7.465,Petroleum Products,Agriculture
West Dunbartonshire,2006,643.232,Gas,Domestic
West Dunbartonshire,2006,0.532,Petroleum Products,Public Sector
West Dunbartonshire,2006,9.967,Petroleum Products,Domestic
West Dunbartonshire,2006,0.0,Coal,Rail
West Dunbartonshire,2006,0.156,Coal,Public Sector
West Dunbartonshire,2006,279.318,Electricity,Industrial & Commercial
West Dunbartonshire,2006,185.324,Electricity,Domestic
West Dunbartonshire,2007,0.18,Coal,Public Sector
West Dunbartonshire,2007,0.0,Coal,Rail
West Dunbartonshire,2007,0.188,Coal,Domestic
West Dunbartonshire,2007,269.642,Electricity,Industrial & Commercial
West Dunbartonshire,2007,181.335,Electricity,Domestic
West Dunbartonshire,2006,541.144,Petroleum Products,Road Transport
West Dunbartonshire,2006,1.026,Petroleum Products,Rail
West Dunbartonshire,2007,0.002,Coal,Agriculture
West Dunbartonshire,2007,1.013,Bioenergy & Wastes,Domestic
West Dunbartonshire,2017,0.811,Petroleum Products,Commercial
West Dunbartonshire,2017,37.725,Petroleum Products,Industrial
West Dunbartonshire,2017,0.107,Manufactured Fuels,Industrial
West Dunbartonshire,2018,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2018,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2017,0.009,Coal,Commercial
West Dunbartonshire,2017,0.0,Coal,Industrial
West Dunbartonshire,2017,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2017,150.3,Gas,Industrial
West Dunbartonshire,2017,69.264,Gas,Commercial
West Dunbartonshire,2018,0.816,Petroleum Products,Commercial
